scenario,severity,severity_label,roc_auc,f1,accuracy,auc_degradation,auc_retention
Null Injection,0.01,1%,0.9953760793553945,0.9652173913043478,0.9986666666666667,0.0,1.0
Null Injection,0.05,5%,0.9909950717236393,0.956140350877193,0.9983333333333333,0.004381007631755196,0.995598640832727
Null Injection,0.1,10%,0.98209659650291,0.9181818181818182,0.997,0.013279482852484481,0.9866588286297936
Null Injection,0.2,20%,0.9735139081988857,0.9181818181818182,0.997,0.02186217115650879,0.9780362703003003
Null Injection,0.3,30%,0.9557662548100347,0.8502415458937198,0.9948333333333333,0.03960982454535977,0.9602061719515993
Distribution Shift,0.5,0.5σ,0.9951203062418642,0.961038961038961,0.9985,0.00025577311353031096,0.9997430387178925
Distribution Shift,1.0,1.0σ,0.9994755936722589,0.9568965517241379,0.9983333333333333,-0.004099514316864394,1.004118558203166
Distribution Shift,2.0,2.0σ,0.9992934089126213,0.9387755102040817,0.9975,-0.00391732955722679,1.0039355271223351
Distribution Shift,3.0,3.0σ,0.9994434434205581,0.8721804511278195,0.9943333333333333,-0.0040673640651636145,1.0040862586006665
Distribution Shift,5.0,5.0σ,0.9992569719606939,0.49583333333333335,0.9596666666666667,-0.0038808926052993353,1.003898920906169
Correlation Break,1.0,transaction_amount,0.9946816339186584,0.9446808510638298,0.9978333333333333,0.0006944454367361352,0.9993023285860095
Correlation Break,1.0,time_since_last,0.9734746134468071,0.956140350877193,0.9983333333333333,0.021901465908587436,0.9779967930083564
Correlation Break,1.0,distance_from_home,0.8991525193651683,0.3181818181818182,0.97,0.09622355999022625,0.9033294430256545
Outlier Injection,0.01,1%,0.9947880869742898,0.9446808510638298,0.9978333333333333,0.0005879923811047405,0.9994092761587303
Outlier Injection,0.02,2%,0.9941579420409551,0.9327731092436975,0.9973333333333333,0.001218137314439427,0.998776203949739
Outlier Injection,0.05,5%,0.9923811047969604,0.9173553719008265,0.9966666666666667,0.002994974558434116,0.99699111258493
Outlier Injection,0.1,10%,0.9893111129845579,0.8538461538461538,0.9936666666666667,0.006064966370836644,0.9939068594306945
